date,halving_era,open,high,low,close,daily_change,daily_pct_change,daily_range,ma_7,ma_30,ma_200,volatility_30d,macd,macd_signal,rsi_14,is_interpolated,move_class,rsi_zone,range_band,trend,close_minmax,close_zscore,pct_zscore,range_pct
2011-03-07,Genesis Era (50 BTC/block),0.8999,0.909,0.846,0.885,-0.0149,-1.6557395266140709,0.063,0.9136285714285712,0.9500833333333334,0.32562145,6.646550987071932,0.02409830644643,0.0416035786081871,50.2048607450201,False,Fall,Neutral,Medium,Above 200-MA,1.6377422740107394e-06,-0.6978346784884725,-0.2967478486871122,7.000777864207134
2011-03-08,Genesis Era (50 BTC/block),0.885,0.885,0.85,0.87,-0.015,-1.6949152542372896,0.035,0.9064571428571429,0.9490933333333332,0.32964395,6.6411309777176974,0.0190698604318076,0.0370968349729112,48.760601565454365,False,Fall,Neutral,Medium,Above 200-MA,1.517907473473368e-06,-0.6978351712348146,-0.30257198782126116,3.954802259887006
2011-03-09,Genesis Era (50 BTC/block),0.87,0.87,0.85,0.8645,-0.0054999999999999,-0.6321839080459712,0.02,0.8956857142857144,0.9482433333333332,0.3336344499999999,6.638904040497508,0.0144741279652881,0.0325722935713866,48.21293147702136,False,Flat,Neutral,Low,Above 200-MA,1.4739680466096656e-06,-0.6978353519084735,-0.14457887325888413,2.2988505747126435
2011-03-10,Genesis Era (50 BTC/block),0.8645,0.9329,0.8497,0.9329,0.0683999999999999,7.912087912087901,0.0831999999999999,0.8948,0.94874,0.33796895,6.7697026301797605,0.0161649457996071,0.0292908240170307,54.98451170473181,False,Large Rise,Neutral,High,Above 200-MA,2.0204147370600777e-06,-0.6978331049851528,1.1256726549081206,9.624060150375929
2011-03-11,Genesis Era (50 BTC/block),0.9329,0.9329,0.8601,0.88,-0.0528999999999999,-5.670489870296918,0.0727999999999999,0.8918,0.94174,0.3420444,5.882750104114829,0.0130855017005737,0.0260497595537393,49.58445300558468,False,Large Fall,Neutral,Medium,Above 200-MA,1.5977973404982822e-06,-0.6978348427372532,-0.893608864655146,7.803623110729972
2011-03-12,Genesis Era (50 BTC/block),0.88,0.9197,0.88,0.918,0.038,4.318181818181822,0.0396999999999999,0.8928999999999999,0.9396633333333334,0.3463094,5.661777415845415,0.0135550483272505,0.0235508173084415,53.14431382242209,False,Rise,Neutral,Medium,Above 200-MA,1.9013788351929561e-06,-0.6978335944465195,0.5913773042949211,4.511363636363625
2011-03-13,Genesis Era (50 BTC/block),0.918,0.918,0.8898,0.8925,-0.0255,-2.777777777777786,0.0282,0.891842857142857,0.9337466666666666,0.3504479,5.405606030799929,0.0117342652190655,0.0211875068905663,50.56412042849397,False,Fall,Neutral,Medium,Above 200-MA,1.6976596742794246e-06,-0.6978344321153013,-0.4635579447615382,3.071895424836601
2011-03-14,Genesis Era (50 BTC/block),0.8925,0.9,0.88,0.8949,0.0024,0.2689075630252178,0.02,0.893257142857143,0.9275766666666668,0.3546024,5.401052565031773,0.0103654549181336,0.0190230964960798,50.806201901907045,False,Flat,Neutral,Low,Above 200-MA,1.7168332423654044e-06,-0.6978343532758866,-0.010616279109053078,2.2408963585434174
2011-03-15,Genesis Era (50 BTC/block),0.8949,0.8949,0.87,0.87,-0.0249,-2.7824337914850856,0.0249,0.893257142857143,0.9215766666666668,0.3586273999999999,5.401120899217086,0.0071885755664846,0.0166561923101608,48.17063267795183,False,Fall,Neutral,Low,Above 200-MA,1.517907473473368e-06,-0.6978351712348146,-0.46425014049821034,2.7824337914850816
2011-03-16,Genesis Era (50 BTC/block),0.87,0.88,0.836,0.86,-0.01,-1.1494252873563229,0.044,0.8926142857142857,0.9145766666666668,0.3626068999999999,5.383348571376996,0.0038199256406458,0.0140889389762578,47.11359783170844,False,Fall,Neutral,Medium,Above 200-MA,1.438017606448454e-06,-0.6978354997323761,-0.22147561371041735,5.057471264367816
